fold,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4
69,0,0,159,1,0,109,0,0,51,0,160,0,0,0,0,3,157,0,0,0,10,150,0,0,0
70,0,0,160,0,0,93,0,0,59,8,160,0,0,0,0,3,157,0,0,0,50,110,0,0,0
71,0,2,157,1,0,80,0,0,75,5,160,0,0,0,0,4,156,0,0,0,5,155,0,0,0
72,0,1,158,1,0,82,0,0,78,0,160,0,0,0,0,5,155,0,0,0,8,152,0,0,0
73,0,0,160,0,0,104,0,0,56,0,160,0,0,0,0,20,140,0,0,0,65,95,0,0,0
74,0,1,159,0,0,83,0,0,69,8,160,0,0,0,0,1,159,0,0,0,2,158,0,0,0
75,0,0,160,0,0,97,0,0,61,2,160,0,0,0,0,1,159,0,0,0,7,153,0,0,0
76,0,0,159,1,0,122,0,0,36,2,160,0,0,0,0,23,137,0,0,0,7,153,0,0,0
77,0,0,160,0,0,65,0,0,94,1,160,0,0,0,0,21,139,0,0,0,4,156,0,0,0
78,0,2,152,6,0,75,0,0,77,8,160,0,0,0,0,4,156,0,0,0,9,151,0,0,0
79,0,2,157,1,0,102,0,0,58,0,160,0,0,0,0,13,147,0,0,0,3,155,0,2,0
80,0,0,159,1,0,81,0,0,79,0,160,0,0,0,0,17,143,0,0,0,40,120,0,0,0
81,0,0,159,1,0,61,0,0,98,1,160,0,0,0,0,2,158,0,0,0,5,152,0,3,0
82,0,0,159,1,0,84,0,0,76,0,160,0,0,0,0,5,155,0,0,0,52,106,0,2,0
83,0,0,159,1,0,92,0,0,66,2,160,0,0,0,0,9,151,0,0,0,11,149,0,0,0
84,0,0,160,0,0,71,0,0,83,6,160,0,0,0,0,15,145,0,0,0,4,155,0,1,0
85,0,0,160,0,0,98,0,0,61,1,160,0,0,0,0,18,142,0,0,0,7,153,0,0,0
86,0,0,159,1,0,68,0,0,85,7,160,0,0,0,0,3,157,0,0,0,13,147,0,0,0
87,0,0,160,0,0,96,0,0,60,4,160,0,0,0,0,5,155,0,0,0,39,121,0,0,0
88,0,1,158,1,0,91,0,0,54,15,160,0,0,0,0,7,153,0,0,0,3,154,0,3,0
