perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
50,0.495,0.495,0.5,0.47,0.47,0.515,0.5,0.495,0.455,0.47,0.445,0.48,0.495,0.515,0.465,0.5,0.435,0.43,0.45,0.58,0.445,0.5,0.43,0.475,0.595,0.53,0.46,0.465,0.49,0.5,0.51,0.435,0.43,0.49,0.505,0.52,0.51,0.485,0.41,0.465,0.5,0.465,0.435,0.55,0.435,0.545,0.47,0.475,0.525,0.52,0.495,0.515,0.41,0.535,0.5,0.45,0.5,0.48,0.48,0.505,0.49,0.535,0.47,0.46,0.47,0.45,0.52,0.48,0.55,0.47,0.435,0.48,0.48,0.465,0.505,0.535,0.45,0.505,0.44,0.485,0.455,0.46,0.51,0.525,0.42,0.47,0.455,0.505,0.475,0.505,0.455,0.51,0.46,0.49,0.495,0.47,0.44,0.485,0.545,0.48,0.48384999999999984
55,0.465,0.435,0.445,0.405,0.44,0.47,0.41,0.435,0.42,0.435,0.42,0.42,0.42,0.485,0.43,0.45,0.395,0.37,0.415,0.485,0.405,0.415,0.38,0.43,0.53,0.425,0.405,0.435,0.44,0.45,0.465,0.395,0.4,0.455,0.47,0.48,0.48,0.415,0.37,0.44,0.44,0.42,0.39,0.475,0.375,0.53,0.42,0.45,0.44,0.47,0.46,0.46,0.355,0.45,0.425,0.375,0.465,0.435,0.435,0.46,0.455,0.485,0.435,0.425,0.435,0.42,0.47,0.435,0.505,0.425,0.39,0.45,0.46,0.415,0.445,0.48,0.4,0.43,0.385,0.45,0.39,0.4,0.445,0.46,0.385,0.4,0.42,0.46,0.43,0.43,0.405,0.43,0.415,0.44,0.42,0.415,0.4,0.45,0.495,0.43,0.43379999999999996
60,0.415,0.385,0.395,0.36,0.375,0.41,0.38,0.395,0.375,0.395,0.375,0.385,0.39,0.43,0.385,0.4,0.345,0.33,0.35,0.425,0.35,0.35,0.32,0.385,0.455,0.4,0.365,0.375,0.365,0.4,0.415,0.34,0.35,0.395,0.4,0.445,0.425,0.385,0.325,0.37,0.39,0.395,0.34,0.42,0.32,0.47,0.375,0.37,0.41,0.405,0.38,0.42,0.28,0.41,0.36,0.335,0.45,0.36,0.39,0.44,0.425,0.42,0.375,0.37,0.385,0.385,0.435,0.405,0.455,0.365,0.385,0.415,0.39,0.385,0.385,0.395,0.34,0.4,0.345,0.415,0.355,0.335,0.39,0.405,0.32,0.36,0.375,0.43,0.39,0.4,0.365,0.37,0.37,0.395,0.355,0.365,0.345,0.385,0.42,0.37,0.38410000000000005
65,0.37,0.325,0.36,0.315,0.32,0.32,0.33,0.375,0.33,0.37,0.335,0.31,0.35,0.385,0.345,0.36,0.295,0.3,0.325,0.365,0.325,0.29,0.285,0.3,0.37,0.38,0.3,0.36,0.33,0.35,0.36,0.3,0.315,0.36,0.345,0.39,0.375,0.32,0.275,0.34,0.365,0.335,0.32,0.355,0.295,0.41,0.355,0.315,0.36,0.32,0.335,0.37,0.24,0.375,0.31,0.31,0.395,0.315,0.325,0.36,0.39,0.375,0.31,0.315,0.345,0.345,0.375,0.355,0.38,0.32,0.35,0.36,0.32,0.335,0.36,0.325,0.31,0.305,0.305,0.36,0.32,0.305,0.35,0.365,0.275,0.34,0.34,0.355,0.365,0.335,0.32,0.345,0.32,0.325,0.335,0.335,0.285,0.345,0.37,0.32,0.33709999999999984
70,0.34,0.24,0.32,0.28,0.27,0.265,0.28,0.315,0.28,0.32,0.3,0.27,0.29,0.32,0.31,0.29,0.25,0.22,0.29,0.335,0.26,0.255,0.225,0.26,0.325,0.33,0.265,0.325,0.27,0.3,0.285,0.265,0.26,0.3,0.305,0.315,0.3,0.27,0.24,0.27,0.32,0.275,0.295,0.31,0.25,0.36,0.28,0.27,0.295,0.255,0.305,0.325,0.205,0.325,0.235,0.26,0.34,0.285,0.29,0.305,0.34,0.315,0.265,0.29,0.29,0.28,0.305,0.295,0.32,0.26,0.29,0.29,0.27,0.29,0.275,0.265,0.265,0.255,0.275,0.315,0.27,0.27,0.285,0.335,0.22,0.28,0.315,0.295,0.305,0.27,0.28,0.305,0.28,0.295,0.29,0.29,0.24,0.31,0.31,0.26,0.2865
75,0.285,0.175,0.28,0.26,0.215,0.205,0.205,0.29,0.21,0.265,0.25,0.215,0.235,0.26,0.295,0.225,0.205,0.22,0.23,0.25,0.235,0.22,0.195,0.235,0.29,0.305,0.205,0.28,0.225,0.26,0.25,0.225,0.225,0.235,0.275,0.265,0.23,0.23,0.205,0.23,0.27,0.24,0.245,0.265,0.225,0.31,0.24,0.215,0.25,0.245,0.27,0.285,0.165,0.245,0.215,0.22,0.29,0.205,0.26,0.27,0.285,0.255,0.215,0.22,0.255,0.22,0.27,0.28,0.245,0.23,0.26,0.25,0.235,0.255,0.22,0.24,0.23,0.21,0.22,0.265,0.22,0.225,0.255,0.295,0.175,0.23,0.26,0.26,0.225,0.255,0.24,0.255,0.245,0.255,0.24,0.245,0.17,0.27,0.28,0.225,0.2421000000000001
80,0.205,0.135,0.255,0.235,0.2,0.175,0.16,0.215,0.135,0.225,0.215,0.17,0.2,0.185,0.205,0.17,0.17,0.17,0.18,0.21,0.2,0.185,0.15,0.18,0.23,0.23,0.16,0.23,0.16,0.195,0.19,0.155,0.185,0.18,0.235,0.215,0.195,0.205,0.155,0.18,0.225,0.2,0.205,0.22,0.15,0.245,0.205,0.18,0.21,0.2,0.175,0.215,0.135,0.175,0.195,0.165,0.22,0.165,0.21,0.215,0.23,0.205,0.185,0.17,0.22,0.175,0.2,0.22,0.17,0.17,0.23,0.2,0.19,0.205,0.16,0.2,0.17,0.14,0.195,0.205,0.16,0.19,0.195,0.26,0.125,0.19,0.215,0.195,0.165,0.2,0.195,0.185,0.205,0.185,0.19,0.22,0.14,0.225,0.215,0.195,0.19230000000000003
85,0.125,0.1,0.16,0.19,0.14,0.14,0.11,0.155,0.09,0.18,0.15,0.135,0.145,0.125,0.165,0.135,0.14,0.11,0.145,0.18,0.14,0.13,0.13,0.14,0.185,0.195,0.11,0.16,0.13,0.135,0.135,0.11,0.145,0.145,0.155,0.15,0.14,0.165,0.135,0.145,0.165,0.13,0.185,0.18,0.12,0.185,0.11,0.145,0.135,0.15,0.16,0.16,0.12,0.125,0.15,0.145,0.18,0.13,0.145,0.2,0.18,0.135,0.15,0.145,0.165,0.135,0.135,0.195,0.14,0.135,0.165,0.17,0.155,0.135,0.095,0.14,0.145,0.115,0.145,0.15,0.135,0.145,0.15,0.17,0.1,0.145,0.145,0.15,0.125,0.15,0.14,0.145,0.145,0.14,0.17,0.16,0.09,0.165,0.14,0.135,0.14494999999999994
90,0.1,0.07,0.12,0.11,0.095,0.12,0.065,0.095,0.075,0.11,0.08,0.085,0.105,0.11,0.125,0.105,0.09,0.08,0.095,0.11,0.105,0.095,0.07,0.105,0.125,0.14,0.065,0.13,0.09,0.08,0.095,0.1,0.11,0.105,0.09,0.1,0.09,0.095,0.095,0.07,0.08,0.1,0.13,0.115,0.08,0.135,0.075,0.105,0.085,0.095,0.115,0.11,0.065,0.11,0.105,0.095,0.125,0.09,0.115,0.16,0.135,0.085,0.1,0.1,0.09,0.105,0.085,0.14,0.08,0.08,0.085,0.105,0.125,0.08,0.07,0.105,0.095,0.1,0.105,0.09,0.105,0.095,0.115,0.11,0.095,0.09,0.12,0.125,0.105,0.11,0.12,0.12,0.125,0.1,0.11,0.125,0.045,0.11,0.075,0.11,0.10059999999999997
95,0.045,0.05,0.08,0.055,0.055,0.085,0.035,0.045,0.035,0.07,0.055,0.05,0.06,0.05,0.095,0.065,0.045,0.055,0.075,0.06,0.075,0.05,0.04,0.05,0.065,0.1,0.05,0.08,0.05,0.045,0.04,0.045,0.055,0.035,0.05,0.075,0.05,0.07,0.055,0.025,0.04,0.07,0.07,0.06,0.045,0.11,0.03,0.07,0.05,0.05,0.085,0.085,0.04,0.06,0.055,0.04,0.07,0.045,0.1,0.075,0.05,0.05,0.06,0.055,0.055,0.045,0.07,0.07,0.04,0.045,0.035,0.07,0.06,0.055,0.03,0.07,0.04,0.065,0.07,0.05,0.055,0.07,0.055,0.065,0.085,0.065,0.065,0.05,0.065,0.07,0.06,0.055,0.055,0.04,0.05,0.055,0.03,0.075,0.06,0.075,0.05805
100,0.005,0.01,0.025,0.02,0.02,0.015,0.015,0.025,0.01,0.015,0.02,0.025,0.01,0.015,0.03,0.02,0.015,0.015,0.02,0.02,0.025,0.025,0.005,0.01,0.01,0.01,0.025,0.015,0.02,0.02,0.02,0.005,0.02,0.01,0.02,0.0,0.025,0.015,0.02,0.0,0.01,0.025,0.02,0.015,0.01,0.015,0.0,0.03,0.025,0.03,0.02,0.035,0.015,0.025,0.01,0.01,0.025,0.01,0.03,0.01,0.01,0.01,0.015,0.025,0.035,0.005,0.035,0.02,0.01,0.02,0.015,0.02,0.015,0.02,0.015,0.025,0.02,0.02,0.01,0.01,0.025,0.025,0.005,0.02,0.035,0.01,0.02,0.015,0.02,0.025,0.01,0.01,0.03,0.015,0.02,0.015,0.005,0.02,0.02,0.025,0.017449999999999993
