perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.955,0.96,0.95,0.91,0.955,0.935,0.96,0.94,0.955,0.96,0.965,0.925,0.955,0.93,0.94,0.945,0.93,0.955,0.945,0.945,0.94,0.94,0.955,0.95,0.95,0.945,0.935,0.97,0.92,0.95,0.94,0.94,0.95,0.955,0.955,0.975,0.915,0.965,0.935,0.975,0.96,0.94,0.935,0.945,0.955,0.965,0.95,0.92,0.925,0.955,0.925,0.94,0.92,0.925,0.945,0.98,0.915,0.97,0.915,0.95,0.955,0.95,0.94,0.945,0.91,0.965,0.93,0.945,0.94,0.945,0.95,0.935,0.92,0.965,0.95,0.93,0.94,0.945,0.945,0.97,0.94,0.935,0.95,0.955,0.92,0.96,0.94,0.945,0.945,0.94,0.93,0.955,0.93,0.935,0.96,0.945,0.965,0.93,0.935,0.945,0.9444499999999998
5,0.91,0.865,0.915,0.86,0.945,0.915,0.915,0.885,0.87,0.92,0.93,0.9,0.895,0.885,0.905,0.9,0.885,0.9,0.91,0.875,0.88,0.89,0.9,0.89,0.895,0.885,0.87,0.905,0.865,0.885,0.87,0.875,0.93,0.905,0.925,0.92,0.89,0.915,0.895,0.91,0.89,0.895,0.925,0.905,0.92,0.94,0.925,0.865,0.865,0.925,0.9,0.895,0.905,0.9,0.895,0.93,0.85,0.885,0.895,0.905,0.91,0.91,0.89,0.885,0.84,0.905,0.885,0.885,0.92,0.895,0.915,0.88,0.875,0.945,0.92,0.885,0.89,0.91,0.895,0.9,0.87,0.89,0.93,0.89,0.89,0.935,0.9,0.885,0.9,0.895,0.89,0.89,0.865,0.88,0.91,0.905,0.885,0.885,0.875,0.9,0.8971000000000003
10,0.865,0.825,0.89,0.83,0.89,0.875,0.86,0.87,0.805,0.89,0.875,0.855,0.86,0.855,0.86,0.84,0.845,0.85,0.86,0.83,0.835,0.82,0.875,0.845,0.865,0.86,0.83,0.835,0.835,0.82,0.835,0.835,0.86,0.84,0.895,0.87,0.86,0.835,0.84,0.855,0.865,0.835,0.86,0.87,0.875,0.9,0.875,0.775,0.83,0.9,0.84,0.845,0.85,0.86,0.855,0.88,0.805,0.84,0.865,0.87,0.855,0.875,0.86,0.855,0.795,0.85,0.84,0.83,0.87,0.855,0.875,0.845,0.83,0.895,0.86,0.84,0.825,0.885,0.85,0.855,0.81,0.865,0.88,0.855,0.815,0.855,0.85,0.86,0.87,0.845,0.835,0.855,0.83,0.83,0.865,0.875,0.835,0.83,0.855,0.855,0.8518499999999998
15,0.82,0.775,0.835,0.78,0.845,0.845,0.82,0.81,0.755,0.845,0.825,0.815,0.835,0.8,0.83,0.79,0.81,0.81,0.82,0.81,0.79,0.8,0.795,0.8,0.815,0.835,0.785,0.805,0.79,0.795,0.81,0.805,0.795,0.79,0.855,0.835,0.825,0.815,0.77,0.81,0.835,0.795,0.81,0.855,0.845,0.87,0.835,0.735,0.775,0.85,0.795,0.795,0.73,0.82,0.78,0.835,0.765,0.785,0.825,0.81,0.81,0.83,0.835,0.805,0.75,0.825,0.785,0.77,0.855,0.795,0.815,0.815,0.775,0.845,0.775,0.805,0.78,0.855,0.785,0.81,0.77,0.825,0.835,0.83,0.795,0.81,0.825,0.815,0.845,0.8,0.815,0.795,0.77,0.8,0.82,0.815,0.785,0.805,0.83,0.83,0.8087499999999997
20,0.785,0.73,0.8,0.72,0.805,0.8,0.795,0.755,0.715,0.785,0.79,0.755,0.78,0.75,0.755,0.73,0.755,0.75,0.78,0.775,0.735,0.775,0.77,0.745,0.78,0.8,0.735,0.765,0.745,0.765,0.775,0.76,0.74,0.74,0.805,0.775,0.765,0.79,0.68,0.77,0.82,0.735,0.74,0.805,0.785,0.785,0.79,0.695,0.745,0.795,0.75,0.755,0.69,0.795,0.745,0.8,0.725,0.76,0.77,0.77,0.765,0.805,0.78,0.75,0.72,0.775,0.74,0.7,0.805,0.74,0.755,0.75,0.735,0.815,0.745,0.765,0.745,0.81,0.75,0.765,0.725,0.76,0.78,0.78,0.745,0.745,0.79,0.76,0.825,0.75,0.76,0.75,0.72,0.725,0.75,0.735,0.725,0.785,0.765,0.81,0.7618
25,0.71,0.7,0.76,0.69,0.755,0.74,0.775,0.725,0.67,0.74,0.73,0.705,0.735,0.68,0.7,0.665,0.72,0.7,0.73,0.735,0.7,0.735,0.725,0.715,0.75,0.73,0.69,0.72,0.7,0.75,0.745,0.72,0.69,0.69,0.77,0.73,0.72,0.76,0.635,0.7,0.775,0.695,0.67,0.75,0.725,0.76,0.715,0.65,0.69,0.75,0.685,0.69,0.64,0.76,0.705,0.72,0.675,0.715,0.735,0.695,0.72,0.76,0.745,0.715,0.69,0.72,0.695,0.69,0.775,0.715,0.685,0.735,0.69,0.765,0.715,0.735,0.7,0.775,0.695,0.735,0.615,0.735,0.74,0.74,0.69,0.695,0.76,0.69,0.785,0.735,0.695,0.73,0.675,0.695,0.7,0.695,0.68,0.74,0.735,0.745,0.7166999999999998
30,0.64,0.655,0.695,0.65,0.695,0.675,0.73,0.69,0.6,0.695,0.655,0.675,0.685,0.645,0.63,0.625,0.665,0.655,0.685,0.71,0.665,0.71,0.64,0.67,0.72,0.69,0.65,0.675,0.655,0.695,0.675,0.655,0.665,0.655,0.705,0.685,0.695,0.71,0.565,0.64,0.74,0.645,0.62,0.69,0.68,0.715,0.67,0.615,0.65,0.695,0.61,0.65,0.595,0.715,0.675,0.685,0.665,0.65,0.695,0.65,0.68,0.715,0.675,0.67,0.655,0.675,0.665,0.645,0.73,0.675,0.64,0.695,0.655,0.705,0.675,0.695,0.665,0.71,0.65,0.685,0.585,0.68,0.685,0.685,0.64,0.665,0.715,0.645,0.735,0.69,0.665,0.685,0.65,0.65,0.66,0.66,0.645,0.685,0.7,0.705,0.6707500000000001
35,0.595,0.615,0.645,0.6,0.63,0.64,0.695,0.65,0.55,0.64,0.6,0.63,0.625,0.615,0.605,0.6,0.6,0.575,0.64,0.665,0.62,0.685,0.56,0.615,0.685,0.65,0.6,0.635,0.645,0.645,0.64,0.595,0.63,0.63,0.64,0.64,0.635,0.64,0.535,0.595,0.655,0.595,0.565,0.64,0.625,0.68,0.625,0.6,0.635,0.66,0.595,0.615,0.54,0.655,0.625,0.63,0.625,0.615,0.625,0.61,0.635,0.685,0.605,0.595,0.595,0.6,0.64,0.615,0.69,0.62,0.58,0.65,0.62,0.65,0.64,0.65,0.615,0.685,0.6,0.635,0.55,0.625,0.66,0.65,0.61,0.625,0.675,0.595,0.615,0.65,0.605,0.615,0.59,0.615,0.62,0.61,0.62,0.635,0.67,0.63,0.6241999999999999
40,0.555,0.58,0.595,0.565,0.61,0.59,0.635,0.615,0.535,0.55,0.545,0.6,0.585,0.575,0.565,0.555,0.56,0.525,0.555,0.63,0.57,0.625,0.535,0.565,0.66,0.62,0.555,0.59,0.575,0.595,0.6,0.53,0.57,0.585,0.6,0.61,0.605,0.605,0.485,0.55,0.595,0.545,0.525,0.62,0.57,0.625,0.59,0.565,0.58,0.615,0.585,0.57,0.485,0.63,0.59,0.54,0.575,0.565,0.59,0.59,0.585,0.645,0.58,0.515,0.56,0.56,0.595,0.58,0.63,0.58,0.53,0.605,0.555,0.57,0.605,0.61,0.56,0.63,0.55,0.585,0.515,0.57,0.6,0.615,0.53,0.58,0.62,0.54,0.55,0.59,0.55,0.595,0.565,0.57,0.57,0.56,0.55,0.575,0.625,0.58,0.5778500000000001
45,0.525,0.535,0.555,0.495,0.54,0.55,0.605,0.535,0.485,0.505,0.495,0.54,0.52,0.555,0.54,0.525,0.49,0.485,0.495,0.6,0.525,0.56,0.455,0.545,0.63,0.595,0.51,0.525,0.53,0.54,0.545,0.475,0.5,0.555,0.565,0.555,0.55,0.545,0.44,0.51,0.54,0.5,0.47,0.58,0.51,0.585,0.56,0.515,0.555,0.58,0.52,0.55,0.455,0.58,0.54,0.48,0.555,0.54,0.515,0.545,0.53,0.615,0.525,0.49,0.535,0.5,0.535,0.525,0.585,0.52,0.49,0.545,0.525,0.5,0.55,0.555,0.5,0.555,0.505,0.52,0.49,0.5,0.56,0.575,0.49,0.545,0.565,0.515,0.495,0.55,0.475,0.545,0.525,0.54,0.53,0.525,0.5,0.53,0.6,0.515,0.5308000000000002
