perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3787,0,190,23,0,23,3917,17,42,1,114,0,3886,0,0,618,0,83,3299,0,0,0,0,0,4000,EAC_1NN
5,3584,2,393,21,0,143,3753,10,93,1,290,0,3710,0,0,681,130,84,3105,0,0,210,0,0,3790,EAC_1NN
10,3396,2,581,21,0,268,3560,6,165,1,461,0,3539,0,0,691,281,91,2937,0,2,393,0,0,3605,EAC_1NN
15,3218,2,759,21,0,375,3369,5,250,1,641,0,3359,0,0,690,428,98,2784,0,2,553,0,0,3445,EAC_1NN
20,2991,3,986,20,0,488,3181,5,325,1,841,0,3159,0,0,687,586,106,2621,0,3,712,0,1,3284,EAC_1NN
25,2778,5,1199,18,0,591,2997,4,407,1,1043,0,2957,0,0,681,734,114,2471,0,8,860,0,1,3131,EAC_1NN
30,2573,6,1404,17,0,728,2781,2,487,2,1199,0,2801,0,0,665,886,133,2316,0,16,1038,0,2,2944,EAC_1NN
35,2381,6,1596,17,0,860,2579,2,557,2,1382,0,2618,0,0,642,1045,160,2153,0,26,1219,0,2,2753,EAC_1NN
40,2202,6,1775,17,0,975,2389,2,631,3,1571,0,2429,0,0,618,1215,185,1982,0,39,1403,0,3,2555,EAC_1NN
45,2044,6,1933,17,0,1091,2195,2,707,5,1764,0,2236,0,0,586,1401,223,1790,0,44,1599,0,6,2351,EAC_1NN
50,1873,6,2104,17,0,1193,2028,2,771,6,1975,0,2025,0,0,559,1553,254,1634,0,56,1821,0,6,2117,EAC_1NN
55,1687,7,2289,17,0,1320,1819,2,850,9,2167,0,1833,0,0,519,1740,299,1442,0,70,2026,0,9,1895,EAC_1NN
60,1501,7,2475,17,0,1430,1627,2,927,14,2378,1,1621,0,0,490,1913,332,1265,0,92,2230,0,10,1668,EAC_1NN
65,1341,8,2635,16,0,1535,1431,4,1011,19,2581,1,1418,0,0,460,2081,363,1096,0,104,2430,0,10,1456,EAC_1NN
70,1164,8,2812,16,0,1662,1219,5,1089,25,2813,1,1186,0,0,436,2244,392,928,0,126,2629,0,12,1233,EAC_1NN
75,999,9,2975,17,0,1776,1036,8,1153,27,2999,2,999,0,0,420,2378,415,787,0,139,2825,0,15,1021,EAC_1NN
80,800,12,3173,15,0,1903,828,14,1222,33,3203,2,795,0,0,391,2539,450,620,0,165,3015,0,17,803,EAC_1NN
85,620,14,3352,14,0,2017,636,20,1285,42,3407,2,591,0,0,359,2690,489,462,0,192,3201,0,17,590,EAC_1NN
90,431,23,3537,9,0,2134,437,21,1355,53,3576,2,422,0,0,324,2808,529,339,0,212,3386,0,19,383,EAC_1NN
95,295,24,3671,10,0,2227,242,23,1439,69,3747,2,251,0,0,272,2967,585,176,0,240,3544,0,19,197,EAC_1NN
100,193,31,3770,6,0,2338,43,23,1501,95,3886,2,112,0,0,249,3137,613,1,0,249,3730,0,21,0,EAC_1NN
