perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3805,0,175,20,0,8,3925,22,44,1,21,0,3979,0,0,812,0,111,3077,0,0,0,0,0,4000,EAC_5NN
5,3790,0,190,20,0,36,3900,16,48,0,42,0,3958,0,0,899,11,114,2976,0,0,50,0,0,3950,EAC_5NN
10,3735,1,246,18,0,83,3842,10,65,0,99,0,3901,0,0,969,57,120,2854,0,0,176,0,0,3824,EAC_5NN
15,3630,1,351,18,0,166,3738,8,88,0,193,0,3807,0,0,992,135,130,2743,0,0,375,0,0,3625,EAC_5NN
20,3472,5,509,14,0,282,3601,7,110,0,339,0,3661,0,0,1023,254,134,2589,0,0,521,0,0,3479,EAC_5NN
25,3240,7,741,12,0,428,3428,5,139,0,557,0,3443,0,0,1021,396,153,2430,0,0,667,0,0,3333,EAC_5NN
30,3002,8,980,10,0,600,3207,4,189,0,772,0,3228,0,0,989,559,187,2265,0,3,814,0,0,3183,EAC_5NN
35,2688,8,1294,10,0,799,2961,4,236,0,1051,0,2949,0,0,937,775,238,2050,0,7,982,0,0,3011,EAC_5NN
40,2347,9,1634,10,0,1007,2701,6,286,0,1372,0,2628,0,0,877,1003,291,1829,0,12,1195,0,0,2793,EAC_5NN
45,2022,15,1958,5,0,1259,2395,7,339,0,1675,0,2325,0,0,824,1298,331,1547,0,20,1439,0,0,2541,EAC_5NN
50,1729,16,2251,4,0,1526,2093,7,374,0,2033,0,1967,0,0,756,1590,390,1264,0,27,1711,0,0,2262,EAC_5NN
55,1455,20,2524,1,0,1796,1763,7,434,0,2371,0,1629,0,0,679,1876,442,1003,0,44,1983,0,0,1973,EAC_5NN
60,1182,20,2797,1,0,2021,1471,8,500,0,2669,0,1331,0,0,621,2126,493,760,0,62,2291,0,0,1647,EAC_5NN
65,933,21,3046,0,0,2261,1163,7,569,0,2994,0,1006,0,0,534,2376,545,545,0,83,2622,0,0,1295,EAC_5NN
70,724,21,3255,0,0,2441,886,8,665,0,3261,0,739,0,0,487,2557,564,392,0,99,2920,0,0,981,EAC_5NN
75,524,22,3454,0,0,2600,644,8,748,0,3483,0,517,0,0,427,2729,598,246,0,123,3221,0,1,655,EAC_5NN
80,345,21,3634,0,0,2730,416,8,844,2,3673,0,327,0,0,364,2863,636,137,0,151,3416,0,1,432,EAC_5NN
85,231,21,3748,0,0,2780,282,7,927,4,3829,0,171,0,0,323,2969,651,57,0,177,3564,0,0,259,EAC_5NN
90,186,20,3794,0,0,2808,161,9,1018,4,3936,0,64,0,0,275,3019,683,23,0,190,3702,0,0,108,EAC_5NN
95,181,20,3799,0,0,2785,90,14,1109,2,3970,0,30,0,0,234,3059,702,5,0,186,3787,0,1,26,EAC_5NN
100,181,20,3799,0,0,2728,67,12,1192,1,3979,0,21,0,0,189,3068,743,0,0,181,3818,0,1,0,EAC_5NN
