perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3854,0,139,7,0,37,3897,35,31,0,8,0,3992,0,0,1102,0,155,2743,0,0,0,0,0,4000,EAC_10NN
5,3844,0,149,7,0,37,3888,40,35,0,22,0,3978,0,0,1083,0,153,2764,0,0,11,0,0,3989,EAC_10NN
10,3838,0,154,8,0,50,3866,40,44,0,49,0,3951,0,0,1103,3,143,2751,0,0,127,0,0,3873,EAC_10NN
15,3810,1,179,10,0,79,3833,36,52,0,137,0,3863,0,0,1123,27,132,2718,0,0,371,0,0,3629,EAC_10NN
20,3757,1,232,10,0,114,3787,35,64,0,275,0,3725,0,0,1139,58,132,2671,0,0,538,0,0,3462,EAC_10NN
25,3672,1,319,8,0,188,3686,30,96,0,503,0,3497,0,0,1117,151,154,2578,0,0,682,0,0,3318,EAC_10NN
30,3501,2,490,7,0,276,3548,31,145,0,823,0,3177,0,0,1082,299,199,2420,0,0,823,0,0,3177,EAC_10NN
35,3233,3,757,7,0,446,3328,29,197,0,1226,0,2774,0,0,1031,510,273,2186,0,1,982,0,0,3017,EAC_10NN
40,2864,5,1125,6,0,671,3043,29,257,0,1656,0,2344,0,0,960,766,365,1909,0,4,1216,0,0,2780,EAC_10NN
45,2427,8,1563,2,0,936,2714,27,323,0,2059,0,1941,0,0,868,1146,447,1539,0,14,1531,0,0,2455,EAC_10NN
50,2027,12,1960,1,0,1237,2315,26,422,0,2498,0,1502,0,0,774,1555,541,1130,0,19,1871,0,0,2110,EAC_10NN
55,1620,12,2368,0,0,1553,1891,21,535,0,2858,0,1142,0,0,684,1912,616,788,0,33,2240,0,0,1727,EAC_10NN
60,1270,12,2718,0,0,1856,1479,19,646,0,3173,0,827,0,0,594,2191,687,528,0,47,2617,0,0,1336,EAC_10NN
65,930,14,3056,0,0,2135,1071,13,781,0,3438,0,562,0,0,496,2431,760,313,0,64,2976,0,0,960,EAC_10NN
70,673,14,3313,0,0,2380,732,12,876,0,3659,0,341,0,0,414,2603,792,191,0,73,3232,0,0,695,EAC_10NN
75,456,12,3532,0,0,2583,462,15,940,0,3822,0,178,0,0,334,2740,815,111,0,94,3462,0,0,444,EAC_10NN
80,294,12,3694,0,0,2722,243,17,1018,0,3924,0,76,0,0,280,2829,847,44,0,121,3626,0,0,253,EAC_10NN
85,230,9,3761,0,0,2800,129,21,1050,0,3982,0,18,0,0,241,2886,863,10,0,149,3728,0,0,123,EAC_10NN
90,204,10,3786,0,0,2866,79,25,1028,2,3998,0,2,0,0,219,2910,869,2,0,161,3808,0,0,31,EAC_10NN
95,214,10,3776,0,0,2884,60,34,1021,1,4000,0,0,0,0,198,2928,874,0,0,173,3824,0,0,3,EAC_10NN
100,200,13,3787,0,0,2909,60,39,992,0,4000,0,0,0,0,193,2952,855,0,0,178,3822,0,0,0,EAC_10NN
