perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3787,0,190,23,0,23,3917,17,42,1,114,0,3886,0,0,618,0,83,3299,0,0,0,0,0,4000,EAC_1NN
2,3651,2,326,21,0,83,3842,13,61,1,208,0,3792,0,0,670,54,76,3200,0,0,122,0,0,3878,EAC_1NN
5,3567,2,410,21,0,130,3758,8,103,1,291,0,3709,0,0,689,127,69,3115,0,1,202,0,0,3797,EAC_1NN
8,3471,2,506,21,0,178,3672,4,145,1,371,0,3629,0,0,687,221,76,3016,0,2,294,0,0,3704,EAC_1NN
10,3379,2,598,21,0,227,3577,1,193,2,455,0,3545,0,0,689,291,82,2938,0,4,376,0,0,3620,EAC_1NN
12,3278,2,699,21,0,273,3484,1,240,2,538,0,3462,0,0,687,363,88,2862,0,4,443,0,0,3553,EAC_1NN
15,3181,2,796,21,0,346,3363,1,288,2,632,0,3368,0,0,679,436,97,2788,0,4,520,0,0,3476,EAC_1NN
18,3088,3,889,20,0,403,3271,1,322,3,721,0,3279,0,0,681,506,98,2715,0,5,602,0,0,3393,EAC_1NN
20,2974,3,1003,20,0,477,3162,1,357,3,823,0,3177,0,0,682,582,100,2636,0,8,681,0,0,3311,EAC_1NN
