perturbation_percentage,cm_0_0,cm_0_1,cm_0_2,cm_0_3,cm_0_4,cm_1_0,cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_2_0,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_3_0,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_4_0,cm_4_1,cm_4_2,cm_4_3,cm_4_4,classifier
0,3998,0,2,0,0,0,4000,0,0,0,28,0,3972,0,0,0,0,0,4000,0,0,0,0,0,4000,CASIM
2,3972,0,28,0,0,0,4000,0,0,0,45,0,3955,0,0,1,7,0,3992,0,0,1,0,0,3999,CASIM
5,3962,0,38,0,0,0,3994,0,4,2,47,0,3953,0,0,4,18,0,3978,0,0,28,0,0,3972,CASIM
8,3942,0,57,1,0,2,3983,0,11,4,55,0,3945,0,0,3,40,0,3957,0,0,121,0,0,3879,CASIM
10,3938,0,62,0,0,9,3972,0,16,3,55,0,3945,0,0,2,61,0,3937,0,0,217,0,1,3782,CASIM
12,3915,1,83,1,0,14,3958,0,20,8,64,0,3936,0,0,1,81,0,3918,0,0,299,0,0,3701,CASIM
15,3909,3,85,3,0,19,3951,0,24,6,75,0,3925,0,0,3,100,0,3897,0,0,377,0,0,3623,CASIM
18,3896,4,97,3,0,22,3941,0,30,7,92,0,3908,0,0,2,127,0,3871,0,0,430,0,0,3570,CASIM
20,3887,5,104,4,0,44,3903,0,45,8,130,0,3870,0,0,1,134,0,3865,0,0,499,0,0,3501,CASIM
