perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.93,0.965,0.94,0.915,0.95,0.92,0.955,0.925,0.935,0.95,0.955,0.935,0.95,0.93,0.94,0.93,0.93,0.94,0.94,0.96,0.93,0.935,0.96,0.935,0.93,0.93,0.95,0.945,0.93,0.93,0.92,0.935,0.915,0.965,0.965,0.97,0.91,0.955,0.915,0.95,0.935,0.95,0.93,0.93,0.955,0.955,0.935,0.915,0.91,0.96,0.915,0.945,0.94,0.955,0.94,0.95,0.93,0.96,0.935,0.945,0.935,0.95,0.935,0.95,0.92,0.955,0.915,0.94,0.945,0.925,0.935,0.93,0.915,0.96,0.965,0.94,0.93,0.945,0.94,0.95,0.945,0.955,0.94,0.97,0.91,0.92,0.945,0.95,0.935,0.94,0.925,0.97,0.93,0.92,0.955,0.95,0.935,0.935,0.93,0.93,0.9393
5,0.915,0.935,0.935,0.905,0.95,0.91,0.95,0.91,0.92,0.955,0.945,0.93,0.94,0.92,0.925,0.9,0.91,0.935,0.94,0.94,0.92,0.93,0.96,0.92,0.91,0.925,0.935,0.94,0.91,0.925,0.905,0.93,0.9,0.96,0.94,0.96,0.905,0.945,0.915,0.94,0.93,0.935,0.915,0.92,0.95,0.945,0.935,0.89,0.885,0.95,0.89,0.94,0.93,0.94,0.925,0.95,0.895,0.95,0.93,0.94,0.935,0.94,0.92,0.94,0.915,0.945,0.905,0.935,0.94,0.925,0.945,0.915,0.9,0.955,0.96,0.93,0.905,0.95,0.92,0.945,0.93,0.935,0.935,0.955,0.905,0.915,0.94,0.935,0.92,0.93,0.915,0.955,0.915,0.91,0.95,0.945,0.92,0.92,0.92,0.905,0.9287000000000006
10,0.905,0.92,0.92,0.875,0.935,0.88,0.915,0.905,0.89,0.935,0.94,0.895,0.915,0.905,0.91,0.895,0.865,0.925,0.93,0.915,0.91,0.905,0.92,0.9,0.895,0.91,0.92,0.915,0.91,0.905,0.89,0.91,0.885,0.91,0.935,0.925,0.89,0.94,0.885,0.925,0.9,0.895,0.89,0.91,0.925,0.935,0.9,0.865,0.87,0.925,0.855,0.925,0.91,0.935,0.905,0.93,0.885,0.905,0.92,0.93,0.935,0.94,0.905,0.91,0.885,0.92,0.88,0.92,0.92,0.88,0.895,0.89,0.885,0.93,0.915,0.925,0.885,0.94,0.885,0.93,0.905,0.915,0.93,0.915,0.87,0.89,0.915,0.92,0.905,0.915,0.9,0.925,0.88,0.875,0.935,0.925,0.91,0.91,0.91,0.88,0.9078000000000004
15,0.87,0.9,0.895,0.845,0.905,0.85,0.895,0.88,0.85,0.895,0.905,0.845,0.895,0.885,0.89,0.87,0.825,0.875,0.89,0.885,0.875,0.88,0.905,0.855,0.86,0.895,0.905,0.89,0.875,0.87,0.87,0.89,0.87,0.855,0.9,0.885,0.875,0.915,0.855,0.9,0.885,0.865,0.84,0.87,0.9,0.9,0.86,0.84,0.865,0.905,0.855,0.89,0.875,0.89,0.85,0.905,0.865,0.85,0.91,0.875,0.885,0.92,0.875,0.875,0.865,0.885,0.875,0.87,0.91,0.855,0.84,0.88,0.835,0.895,0.885,0.885,0.86,0.925,0.83,0.895,0.865,0.875,0.905,0.895,0.835,0.85,0.88,0.89,0.88,0.9,0.875,0.89,0.865,0.825,0.905,0.88,0.875,0.885,0.86,0.865,0.8771499999999998
20,0.85,0.865,0.86,0.82,0.845,0.8,0.86,0.845,0.8,0.885,0.855,0.81,0.84,0.85,0.84,0.84,0.785,0.835,0.85,0.835,0.8,0.855,0.865,0.79,0.805,0.865,0.865,0.835,0.83,0.86,0.825,0.875,0.845,0.795,0.89,0.845,0.85,0.89,0.815,0.885,0.855,0.815,0.785,0.865,0.86,0.835,0.81,0.83,0.835,0.87,0.815,0.86,0.835,0.88,0.795,0.87,0.81,0.82,0.88,0.82,0.83,0.89,0.86,0.84,0.825,0.845,0.825,0.825,0.875,0.82,0.815,0.84,0.805,0.83,0.825,0.855,0.81,0.89,0.81,0.875,0.84,0.835,0.835,0.85,0.81,0.81,0.865,0.845,0.85,0.875,0.805,0.86,0.83,0.785,0.85,0.865,0.875,0.86,0.83,0.845,0.8400999999999996
25,0.77,0.82,0.825,0.78,0.795,0.73,0.845,0.805,0.75,0.825,0.835,0.77,0.795,0.785,0.79,0.78,0.755,0.77,0.79,0.785,0.76,0.805,0.815,0.755,0.76,0.82,0.85,0.79,0.81,0.815,0.815,0.815,0.745,0.73,0.88,0.82,0.83,0.83,0.76,0.78,0.825,0.755,0.755,0.83,0.835,0.805,0.77,0.78,0.755,0.805,0.77,0.78,0.785,0.855,0.755,0.805,0.75,0.795,0.84,0.795,0.785,0.86,0.79,0.785,0.77,0.81,0.77,0.77,0.855,0.76,0.75,0.83,0.75,0.78,0.8,0.83,0.785,0.85,0.765,0.84,0.735,0.825,0.8,0.81,0.75,0.735,0.845,0.78,0.795,0.83,0.73,0.815,0.78,0.73,0.79,0.82,0.845,0.815,0.795,0.78,0.7937000000000003
30,0.72,0.735,0.755,0.74,0.745,0.685,0.82,0.77,0.675,0.76,0.78,0.715,0.715,0.74,0.705,0.73,0.695,0.72,0.725,0.76,0.72,0.76,0.765,0.695,0.73,0.77,0.8,0.73,0.76,0.735,0.755,0.76,0.7,0.7,0.81,0.745,0.77,0.78,0.71,0.745,0.75,0.715,0.705,0.745,0.76,0.765,0.725,0.715,0.7,0.78,0.725,0.775,0.74,0.805,0.69,0.745,0.72,0.74,0.79,0.755,0.7,0.79,0.735,0.745,0.715,0.77,0.745,0.75,0.805,0.73,0.7,0.785,0.72,0.765,0.765,0.745,0.73,0.795,0.725,0.765,0.695,0.79,0.73,0.745,0.725,0.69,0.83,0.71,0.76,0.795,0.715,0.77,0.745,0.69,0.76,0.75,0.78,0.79,0.755,0.745,0.7442500000000001
35,0.645,0.645,0.695,0.65,0.695,0.61,0.76,0.705,0.6,0.71,0.71,0.675,0.65,0.69,0.65,0.64,0.625,0.67,0.67,0.725,0.675,0.71,0.7,0.62,0.67,0.715,0.69,0.67,0.71,0.665,0.7,0.68,0.635,0.655,0.73,0.695,0.735,0.73,0.67,0.675,0.665,0.67,0.645,0.7,0.71,0.69,0.675,0.67,0.67,0.73,0.655,0.72,0.65,0.72,0.615,0.68,0.675,0.68,0.715,0.695,0.64,0.745,0.655,0.71,0.67,0.655,0.695,0.695,0.75,0.67,0.605,0.73,0.68,0.66,0.705,0.69,0.665,0.71,0.69,0.71,0.655,0.695,0.685,0.67,0.67,0.6,0.8,0.645,0.695,0.73,0.645,0.745,0.68,0.645,0.71,0.675,0.735,0.73,0.685,0.69,0.6829500000000001
40,0.58,0.59,0.63,0.57,0.67,0.57,0.69,0.635,0.56,0.6,0.6,0.625,0.585,0.625,0.56,0.565,0.565,0.595,0.575,0.645,0.615,0.66,0.62,0.58,0.615,0.62,0.6,0.585,0.615,0.605,0.655,0.61,0.575,0.595,0.655,0.635,0.63,0.655,0.585,0.59,0.615,0.61,0.6,0.64,0.645,0.625,0.63,0.59,0.565,0.685,0.59,0.64,0.59,0.66,0.58,0.58,0.6,0.58,0.635,0.675,0.58,0.66,0.615,0.635,0.595,0.54,0.655,0.615,0.66,0.625,0.55,0.66,0.625,0.61,0.65,0.625,0.605,0.645,0.615,0.625,0.58,0.615,0.58,0.63,0.595,0.52,0.755,0.57,0.635,0.63,0.595,0.68,0.645,0.605,0.655,0.585,0.65,0.66,0.605,0.64,0.6148999999999998
45,0.51,0.515,0.57,0.485,0.565,0.49,0.585,0.52,0.49,0.505,0.54,0.56,0.505,0.55,0.485,0.49,0.52,0.56,0.545,0.58,0.555,0.58,0.525,0.52,0.575,0.6,0.54,0.51,0.575,0.54,0.6,0.555,0.495,0.555,0.585,0.565,0.54,0.555,0.525,0.535,0.54,0.525,0.525,0.575,0.555,0.525,0.505,0.525,0.5,0.58,0.515,0.585,0.53,0.59,0.51,0.48,0.54,0.51,0.545,0.615,0.495,0.565,0.545,0.565,0.555,0.46,0.555,0.525,0.565,0.525,0.5,0.58,0.55,0.52,0.6,0.55,0.545,0.565,0.545,0.575,0.53,0.53,0.505,0.545,0.54,0.46,0.635,0.485,0.58,0.565,0.49,0.615,0.55,0.53,0.57,0.54,0.545,0.555,0.555,0.565,0.5414999999999999
50,0.45,0.455,0.5,0.415,0.46,0.405,0.48,0.425,0.45,0.42,0.445,0.46,0.445,0.5,0.42,0.445,0.38,0.475,0.45,0.495,0.425,0.505,0.475,0.42,0.495,0.51,0.41,0.42,0.495,0.49,0.52,0.465,0.42,0.415,0.495,0.525,0.475,0.435,0.475,0.47,0.435,0.475,0.46,0.53,0.47,0.485,0.415,0.45,0.47,0.495,0.46,0.49,0.47,0.525,0.435,0.42,0.475,0.41,0.52,0.525,0.42,0.46,0.43,0.475,0.5,0.385,0.485,0.46,0.51,0.425,0.42,0.51,0.49,0.46,0.515,0.475,0.505,0.485,0.44,0.49,0.49,0.49,0.435,0.445,0.445,0.405,0.54,0.42,0.51,0.51,0.44,0.54,0.48,0.47,0.525,0.455,0.465,0.45,0.485,0.505,0.4657500000000001
55,0.385,0.375,0.44,0.39,0.405,0.345,0.38,0.355,0.385,0.35,0.39,0.375,0.345,0.425,0.355,0.39,0.34,0.4,0.35,0.395,0.365,0.41,0.405,0.375,0.375,0.425,0.325,0.325,0.44,0.36,0.455,0.405,0.355,0.34,0.45,0.47,0.375,0.37,0.4,0.4,0.38,0.385,0.37,0.445,0.39,0.405,0.355,0.405,0.4,0.39,0.39,0.39,0.385,0.425,0.33,0.34,0.435,0.37,0.45,0.455,0.355,0.365,0.345,0.41,0.425,0.365,0.4,0.385,0.44,0.355,0.365,0.405,0.4,0.38,0.42,0.395,0.415,0.385,0.4,0.445,0.41,0.385,0.36,0.35,0.39,0.31,0.475,0.38,0.435,0.47,0.365,0.43,0.385,0.415,0.42,0.38,0.39,0.35,0.415,0.45,0.39115000000000016
