perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.790625,0.80625,0.81875,0.809375,0.80625,0.825,0.75625,0.796875,0.796875,0.825,0.84375,0.78125,0.79375,0.81875,0.775,0.828125,0.8,0.778125,0.809375,0.78125,0.803125,0.796875,0.8,0.828125,0.803125,0.78125,0.79375,0.79375,0.796875,0.80625,0.815625,0.784375,0.815625,0.790625,0.821875,0.79375,0.821875,0.840625,0.81875,0.7625,0.821875,0.8125,0.79375,0.784375,0.821875,0.759375,0.765625,0.81875,0.8,0.85,0.815625,0.79375,0.778125,0.796875,0.815625,0.81875,0.834375,0.784375,0.809375,0.78125,0.790625,0.79375,0.815625,0.775,0.771875,0.8,0.78125,0.825,0.803125,0.840625,0.825,0.725,0.821875,0.80625,0.80625,0.79375,0.825,0.825,0.803125,0.79375,0.80625,0.778125,0.8,0.78125,0.840625,0.828125,0.8125,0.8125,0.740625,0.825,0.825,0.825,0.803125,0.821875,0.7875,0.8125,0.825,0.790625,0.784375,0.828125,0.8031562500000002
2,0.821875,0.815625,0.834375,0.80625,0.80625,0.834375,0.759375,0.8375,0.815625,0.81875,0.8625,0.7875,0.796875,0.84375,0.790625,0.8375,0.815625,0.803125,0.81875,0.79375,0.8,0.834375,0.809375,0.84375,0.809375,0.79375,0.821875,0.8,0.803125,0.81875,0.821875,0.790625,0.828125,0.803125,0.834375,0.796875,0.828125,0.846875,0.8375,0.79375,0.846875,0.828125,0.825,0.803125,0.834375,0.765625,0.78125,0.8375,0.80625,0.85625,0.815625,0.809375,0.796875,0.8,0.84375,0.828125,0.828125,0.796875,0.85,0.790625,0.81875,0.83125,0.8125,0.784375,0.7875,0.825,0.80625,0.840625,0.825,0.85,0.84375,0.746875,0.821875,0.815625,0.81875,0.809375,0.840625,0.846875,0.803125,0.8125,0.825,0.8,0.81875,0.7875,0.85,0.83125,0.81875,0.825,0.771875,0.83125,0.834375,0.821875,0.809375,0.828125,0.79375,0.821875,0.85,0.7875,0.778125,0.83125,0.8161562499999998
5,0.815625,0.81875,0.834375,0.821875,0.809375,0.859375,0.778125,0.83125,0.83125,0.846875,0.859375,0.8,0.796875,0.821875,0.803125,0.834375,0.8375,0.815625,0.81875,0.821875,0.825,0.85625,0.834375,0.85,0.81875,0.815625,0.8125,0.828125,0.815625,0.83125,0.821875,0.809375,0.840625,0.8125,0.840625,0.803125,0.840625,0.85625,0.865625,0.8,0.85625,0.840625,0.825,0.815625,0.859375,0.790625,0.80625,0.840625,0.809375,0.8625,0.81875,0.8125,0.803125,0.828125,0.853125,0.834375,0.85,0.784375,0.859375,0.778125,0.840625,0.8375,0.796875,0.796875,0.7875,0.840625,0.815625,0.85625,0.821875,0.8625,0.85,0.784375,0.821875,0.828125,0.846875,0.83125,0.83125,0.853125,0.825,0.825,0.83125,0.81875,0.834375,0.8,0.85625,0.8375,0.83125,0.821875,0.775,0.8375,0.84375,0.84375,0.821875,0.859375,0.809375,0.83125,0.85625,0.7875,0.79375,0.825,0.8263125000000002
8,0.81875,0.8125,0.86875,0.840625,0.821875,0.85,0.778125,0.840625,0.840625,0.840625,0.859375,0.8,0.815625,0.80625,0.79375,0.83125,0.853125,0.815625,0.828125,0.834375,0.821875,0.8625,0.8125,0.88125,0.80625,0.815625,0.840625,0.825,0.83125,0.834375,0.84375,0.80625,0.821875,0.81875,0.8375,0.8125,0.85625,0.88125,0.859375,0.8125,0.85,0.853125,0.825,0.825,0.85625,0.796875,0.81875,0.85,0.809375,0.878125,0.846875,0.821875,0.81875,0.825,0.853125,0.8625,0.85625,0.784375,0.85,0.790625,0.84375,0.8625,0.790625,0.809375,0.790625,0.834375,0.809375,0.853125,0.815625,0.8875,0.846875,0.7875,0.840625,0.8125,0.865625,0.871875,0.871875,0.859375,0.828125,0.85,0.8375,0.83125,0.83125,0.81875,0.890625,0.853125,0.8375,0.840625,0.79375,0.840625,0.853125,0.85625,0.825,0.865625,0.7875,0.821875,0.840625,0.8,0.8125,0.875,0.8334687500000002
10,0.834375,0.85,0.865625,0.83125,0.834375,0.834375,0.815625,0.86875,0.840625,0.840625,0.875,0.834375,0.83125,0.81875,0.803125,0.840625,0.88125,0.80625,0.81875,0.84375,0.81875,0.865625,0.79375,0.89375,0.80625,0.828125,0.8375,0.85,0.85,0.85,0.821875,0.796875,0.7875,0.825,0.840625,0.809375,0.8625,0.878125,0.84375,0.8125,0.853125,0.865625,0.8375,0.815625,0.859375,0.825,0.8,0.86875,0.809375,0.871875,0.85,0.80625,0.821875,0.821875,0.85625,0.859375,0.85625,0.809375,0.871875,0.79375,0.8625,0.871875,0.7875,0.83125,0.8,0.846875,0.825,0.84375,0.83125,0.896875,0.875,0.796875,0.81875,0.84375,0.86875,0.871875,0.859375,0.86875,0.828125,0.859375,0.853125,0.828125,0.83125,0.81875,0.875,0.86875,0.871875,0.84375,0.771875,0.853125,0.85,0.85625,0.828125,0.84375,0.84375,0.85,0.834375,0.8125,0.809375,0.8625,0.838875
12,0.84375,0.8625,0.865625,0.828125,0.825,0.834375,0.815625,0.8625,0.846875,0.840625,0.875,0.803125,0.859375,0.8375,0.828125,0.853125,0.8875,0.790625,0.83125,0.840625,0.834375,0.878125,0.80625,0.88125,0.803125,0.8375,0.859375,0.85,0.859375,0.875,0.825,0.81875,0.803125,0.83125,0.828125,0.828125,0.84375,0.878125,0.834375,0.81875,0.853125,0.84375,0.821875,0.81875,0.871875,0.8125,0.815625,0.85625,0.8125,0.86875,0.85,0.8125,0.8375,0.83125,0.853125,0.865625,0.853125,0.796875,0.865625,0.803125,0.846875,0.865625,0.784375,0.834375,0.8125,0.84375,0.83125,0.846875,0.83125,0.890625,0.86875,0.8125,0.825,0.834375,0.8625,0.85,0.85,0.865625,0.828125,0.875,0.85625,0.815625,0.815625,0.83125,0.859375,0.875,0.865625,0.85625,0.775,0.859375,0.8625,0.871875,0.825,0.86875,0.83125,0.840625,0.85,0.80625,0.828125,0.875,0.8409687499999999
15,0.828125,0.853125,0.8625,0.83125,0.83125,0.84375,0.859375,0.8625,0.828125,0.840625,0.86875,0.828125,0.846875,0.85625,0.84375,0.859375,0.8625,0.790625,0.840625,0.859375,0.84375,0.871875,0.8125,0.909375,0.846875,0.840625,0.878125,0.853125,0.875,0.871875,0.825,0.825,0.790625,0.853125,0.83125,0.83125,0.84375,0.878125,0.846875,0.803125,0.8625,0.846875,0.828125,0.815625,0.871875,0.80625,0.825,0.85625,0.821875,0.871875,0.85,0.825,0.834375,0.83125,0.85625,0.859375,0.85625,0.8125,0.88125,0.815625,0.871875,0.85,0.7875,0.80625,0.8125,0.85625,0.825,0.846875,0.859375,0.890625,0.846875,0.809375,0.834375,0.846875,0.86875,0.871875,0.853125,0.88125,0.8375,0.865625,0.878125,0.840625,0.83125,0.83125,0.865625,0.871875,0.859375,0.840625,0.8,0.85,0.8625,0.859375,0.828125,0.859375,0.853125,0.85,0.8625,0.815625,0.8375,0.86875,0.8454374999999998
18,0.859375,0.846875,0.865625,0.825,0.803125,0.84375,0.846875,0.890625,0.853125,0.85625,0.871875,0.815625,0.8375,0.85625,0.853125,0.84375,0.871875,0.778125,0.84375,0.853125,0.85,0.878125,0.8125,0.90625,0.825,0.859375,0.8875,0.86875,0.859375,0.84375,0.8375,0.825,0.7875,0.853125,0.8375,0.83125,0.85,0.88125,0.84375,0.821875,0.865625,0.8625,0.828125,0.834375,0.871875,0.878125,0.821875,0.86875,0.81875,0.8875,0.865625,0.821875,0.8375,0.828125,0.865625,0.86875,0.840625,0.803125,0.884375,0.81875,0.865625,0.8625,0.7875,0.81875,0.8125,0.85,0.83125,0.846875,0.853125,0.871875,0.846875,0.80625,0.828125,0.840625,0.88125,0.875,0.865625,0.86875,0.834375,0.853125,0.865625,0.853125,0.83125,0.821875,0.871875,0.875,0.875,0.834375,0.825,0.846875,0.85,0.86875,0.828125,0.85,0.871875,0.85625,0.84375,0.81875,0.840625,0.871875,0.8474687499999999
20,0.871875,0.853125,0.84375,0.81875,0.825,0.840625,0.796875,0.9,0.8375,0.84375,0.859375,0.8125,0.8375,0.859375,0.825,0.8625,0.875,0.79375,0.8375,0.85,0.853125,0.865625,0.8,0.91875,0.8375,0.865625,0.88125,0.878125,0.865625,0.878125,0.825,0.80625,0.79375,0.8625,0.840625,0.828125,0.865625,0.884375,0.8375,0.821875,0.86875,0.86875,0.825,0.83125,0.878125,0.85625,0.828125,0.859375,0.828125,0.875,0.875,0.828125,0.834375,0.83125,0.871875,0.859375,0.853125,0.8,0.903125,0.8,0.859375,0.8875,0.7875,0.8375,0.828125,0.865625,0.825,0.834375,0.859375,0.859375,0.8375,0.809375,0.85,0.846875,0.865625,0.90625,0.85,0.8625,0.8375,0.88125,0.83125,0.846875,0.846875,0.84375,0.878125,0.8625,0.884375,0.859375,0.821875,0.85,0.859375,0.8625,0.846875,0.846875,0.871875,0.859375,0.8375,0.828125,0.825,0.85625,0.8483750000000001
