perturbation_percentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,average
0,0.99375,0.990625,0.99375,0.990625,0.99375,0.9875,0.99375,0.990625,0.99375,0.990625,0.99375,0.99375,0.990625,0.990625,0.9875,0.9875,0.996875,0.9875,0.9875,0.99375,0.984375,0.99375,0.984375,0.99375,0.99375,0.9875,0.99375,0.990625,0.99375,0.990625,0.9875,0.990625,0.996875,0.99375,0.990625,1.0,0.99375,0.99375,0.990625,0.984375,0.99375,0.9875,0.9875,0.990625,0.99375,0.984375,0.990625,0.990625,0.99375,0.990625,0.990625,0.990625,0.9875,0.99375,0.9875,0.99375,0.984375,0.99375,0.9875,0.996875,0.990625,0.996875,0.984375,0.996875,0.99375,0.990625,0.996875,0.996875,0.984375,0.99375,0.990625,0.996875,0.9875,0.99375,0.984375,0.9875,0.996875,0.984375,0.99375,0.9875,0.990625,0.99375,0.990625,0.9875,0.99375,0.990625,0.99375,0.990625,0.996875,0.9875,0.9875,0.996875,0.990625,0.99375,0.990625,0.996875,0.9875,0.990625,0.99375,0.990625,0.9912812499999998
2.5,0.984375,0.975,0.971875,0.959375,0.959375,0.96875,0.9625,0.975,0.965625,0.96875,0.975,0.96875,0.96875,0.971875,0.959375,0.95625,0.9875,0.959375,0.965625,0.984375,0.965625,0.965625,0.95625,0.965625,0.98125,0.975,0.965625,0.9625,0.965625,0.971875,0.975,0.975,0.965625,0.978125,0.984375,0.975,0.975,0.975,0.9625,0.959375,0.96875,0.975,0.953125,0.965625,0.98125,0.965625,0.971875,0.975,0.965625,0.978125,0.9875,0.975,0.9625,0.98125,0.95,0.965625,0.95,0.96875,0.940625,0.984375,0.975,0.953125,0.9625,0.98125,0.96875,0.978125,0.98125,0.9875,0.946875,0.975,0.965625,0.984375,0.96875,0.959375,0.96875,0.959375,0.98125,0.971875,0.96875,0.953125,0.959375,0.971875,0.965625,0.953125,0.975,0.96875,0.975,0.96875,0.975,0.96875,0.959375,0.96875,0.98125,0.971875,0.971875,0.98125,0.959375,0.9625,0.971875,0.978125,0.9693124999999999
5,0.95625,0.95,0.9625,0.9375,0.925,0.934375,0.946875,0.953125,0.959375,0.946875,0.953125,0.953125,0.95625,0.953125,0.94375,0.93125,0.953125,0.940625,0.93125,0.953125,0.946875,0.940625,0.915625,0.94375,0.95,0.953125,0.94375,0.9375,0.925,0.95625,0.95,0.953125,0.921875,0.959375,0.96875,0.9625,0.94375,0.946875,0.940625,0.934375,0.9375,0.953125,0.928125,0.928125,0.95,0.934375,0.946875,0.946875,0.921875,0.95625,0.9625,0.9625,0.928125,0.965625,0.925,0.940625,0.928125,0.94375,0.9,0.953125,0.946875,0.940625,0.940625,0.9625,0.9375,0.96875,0.94375,0.971875,0.9125,0.959375,0.940625,0.965625,0.93125,0.928125,0.95625,0.921875,0.96875,0.946875,0.940625,0.93125,0.934375,0.940625,0.94375,0.928125,0.9375,0.946875,0.946875,0.940625,0.959375,0.953125,0.915625,0.934375,0.95,0.953125,0.9375,0.959375,0.93125,0.93125,0.9375,0.9625,0.9440625
7.5,0.9125,0.9125,0.946875,0.915625,0.89375,0.915625,0.915625,0.928125,0.9375,0.921875,0.94375,0.925,0.925,0.9375,0.915625,0.903125,0.934375,0.9,0.909375,0.940625,0.9125,0.915625,0.884375,0.921875,0.88125,0.928125,0.93125,0.921875,0.9,0.946875,0.90625,0.93125,0.896875,0.90625,0.94375,0.921875,0.934375,0.928125,0.915625,0.925,0.93125,0.928125,0.915625,0.915625,0.921875,0.9,0.921875,0.934375,0.90625,0.934375,0.928125,0.94375,0.9125,0.946875,0.909375,0.921875,0.9,0.921875,0.890625,0.93125,0.91875,0.9125,0.934375,0.940625,0.90625,0.95,0.934375,0.9625,0.859375,0.93125,0.915625,0.93125,0.903125,0.909375,0.934375,0.9,0.934375,0.925,0.91875,0.9125,0.921875,0.921875,0.928125,0.909375,0.91875,0.903125,0.925,0.90625,0.93125,0.9375,0.903125,0.915625,0.9375,0.940625,0.921875,0.9375,0.896875,0.90625,0.909375,0.946875,0.9205625000000002
10,0.875,0.878125,0.928125,0.903125,0.88125,0.9,0.896875,0.89375,0.909375,0.89375,0.928125,0.878125,0.89375,0.93125,0.89375,0.878125,0.89375,0.840625,0.9,0.9125,0.890625,0.896875,0.871875,0.86875,0.875,0.909375,0.903125,0.871875,0.88125,0.928125,0.88125,0.90625,0.865625,0.88125,0.921875,0.890625,0.915625,0.909375,0.89375,0.903125,0.909375,0.915625,0.88125,0.8875,0.884375,0.8875,0.884375,0.89375,0.8875,0.90625,0.9125,0.921875,0.875,0.925,0.89375,0.9,0.884375,0.903125,0.88125,0.896875,0.871875,0.896875,0.909375,0.921875,0.865625,0.928125,0.903125,0.9375,0.84375,0.903125,0.890625,0.909375,0.86875,0.884375,0.91875,0.871875,0.909375,0.903125,0.89375,0.89375,0.91875,0.896875,0.875,0.878125,0.89375,0.8625,0.896875,0.86875,0.90625,0.9125,0.878125,0.8875,0.909375,0.9125,0.878125,0.925,0.853125,0.896875,0.89375,0.925,0.8949999999999999
12.5,0.846875,0.865625,0.9125,0.884375,0.85625,0.865625,0.875,0.86875,0.871875,0.878125,0.903125,0.840625,0.859375,0.915625,0.878125,0.8625,0.88125,0.825,0.875,0.8875,0.85625,0.871875,0.85,0.85,0.8625,0.8875,0.86875,0.84375,0.840625,0.9,0.86875,0.884375,0.83125,0.84375,0.89375,0.853125,0.884375,0.890625,0.859375,0.878125,0.871875,0.89375,0.84375,0.865625,0.853125,0.86875,0.859375,0.865625,0.853125,0.896875,0.8875,0.8875,0.846875,0.903125,0.859375,0.865625,0.85625,0.884375,0.865625,0.875,0.846875,0.878125,0.884375,0.903125,0.8375,0.88125,0.878125,0.921875,0.83125,0.884375,0.83125,0.90625,0.846875,0.85625,0.890625,0.846875,0.871875,0.875,0.86875,0.875,0.9,0.875,0.85625,0.853125,0.871875,0.8375,0.865625,0.853125,0.8625,0.853125,0.85625,0.871875,0.89375,0.8875,0.846875,0.896875,0.840625,0.865625,0.88125,0.909375,0.8696875
15,0.81875,0.846875,0.875,0.865625,0.8375,0.8375,0.85625,0.853125,0.83125,0.85625,0.875,0.809375,0.834375,0.890625,0.8375,0.853125,0.878125,0.7875,0.8375,0.86875,0.84375,0.853125,0.828125,0.825,0.840625,0.8625,0.834375,0.803125,0.81875,0.8875,0.8625,0.859375,0.796875,0.81875,0.8625,0.828125,0.853125,0.875,0.828125,0.84375,0.85,0.853125,0.8125,0.846875,0.821875,0.828125,0.846875,0.846875,0.840625,0.865625,0.85625,0.859375,0.83125,0.871875,0.85,0.853125,0.8375,0.859375,0.8375,0.85,0.8125,0.840625,0.865625,0.86875,0.809375,0.85625,0.865625,0.89375,0.796875,0.8625,0.815625,0.884375,0.840625,0.81875,0.840625,0.81875,0.8375,0.85625,0.85625,0.859375,0.878125,0.859375,0.834375,0.81875,0.834375,0.825,0.846875,0.821875,0.846875,0.83125,0.834375,0.85,0.88125,0.84375,0.821875,0.875,0.81875,0.84375,0.84375,0.875,0.8447812499999998
17.5,0.809375,0.8375,0.84375,0.815625,0.815625,0.83125,0.83125,0.840625,0.796875,0.8375,0.840625,0.778125,0.78125,0.85625,0.821875,0.846875,0.8625,0.76875,0.809375,0.85,0.828125,0.8125,0.803125,0.7875,0.8,0.85,0.80625,0.7625,0.803125,0.865625,0.828125,0.834375,0.775,0.803125,0.834375,0.803125,0.846875,0.83125,0.8,0.825,0.834375,0.834375,0.790625,0.825,0.796875,0.8,0.815625,0.83125,0.81875,0.828125,0.825,0.8375,0.809375,0.846875,0.83125,0.83125,0.809375,0.83125,0.8,0.81875,0.803125,0.80625,0.83125,0.83125,0.771875,0.815625,0.840625,0.865625,0.775,0.825,0.7875,0.853125,0.815625,0.8,0.8125,0.79375,0.80625,0.81875,0.83125,0.834375,0.8375,0.8375,0.79375,0.790625,0.79375,0.803125,0.825,0.78125,0.83125,0.8125,0.81875,0.828125,0.865625,0.815625,0.8,0.85625,0.796875,0.821875,0.81875,0.846875,0.8188437499999999
20,0.78125,0.8125,0.825,0.79375,0.79375,0.8125,0.79375,0.825,0.778125,0.7875,0.809375,0.7625,0.759375,0.828125,0.7875,0.81875,0.83125,0.7375,0.784375,0.825,0.803125,0.790625,0.7625,0.778125,0.784375,0.821875,0.790625,0.740625,0.784375,0.840625,0.796875,0.815625,0.759375,0.771875,0.790625,0.784375,0.828125,0.80625,0.778125,0.79375,0.79375,0.803125,0.7375,0.8125,0.75625,0.778125,0.79375,0.8125,0.8,0.79375,0.79375,0.8,0.78125,0.809375,0.8125,0.80625,0.78125,0.78125,0.76875,0.796875,0.778125,0.796875,0.815625,0.8,0.7625,0.7875,0.809375,0.846875,0.73125,0.8,0.771875,0.828125,0.7875,0.79375,0.775,0.76875,0.778125,0.778125,0.809375,0.80625,0.809375,0.80625,0.778125,0.76875,0.759375,0.771875,0.803125,0.740625,0.79375,0.784375,0.809375,0.803125,0.8375,0.778125,0.771875,0.81875,0.771875,0.809375,0.79375,0.825,0.79240625
